lead_ref,whatsapp_anon,fecha_hora,origen,mensaje
L06,549261*****06,2026-08-11T13:54:23.461399Z,BOT,"En losa se puede aislar por arriba con EPS y contrapiso, o por abajo con cielorraso más lana. El valor depende de la superficie y del sistema (lana de vidrio, poliuretano proyectado, EPS). Para pasarte un número necesito algunos datos del inmueble."
L07,549261*****07,2026-08-13T14:15:54.033117Z,LEAD,cuánto sale el m2 de aislación de techo aprox?
L07,549261*****07,2026-08-13T14:15:54.040984Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L07,549261*****07,2026-08-13T14:15:54.059508Z,BOT,"El valor depende de la superficie y del sistema (lana de vidrio, poliuretano proyectado, EPS). Para pasarte un número necesito algunos datos del inmueble."
L07,549261*****07,2026-08-13T14:18:08.609082Z,LEAD,"dale, después te paso los datos"
L08,549261*****08,2026-08-14T14:55:59.136854Z,LEAD,"consulta técnica: se me hace agua el techo por dentro en invierno, es condensación?"
L08,549261*****08,2026-08-14T14:55:59.182798Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L08,549261*****08,2026-08-14T14:57:30.497684Z,LEAD,"techo de chapa sin cielorraso, gotea cuando hace mucho frío"
L08,549261*****08,2026-08-14T14:57:30.524168Z,BOT,"Sí, es condensación: la chapa fría junta la humedad del ambiente. Se resuelve con aislación y una barrera de vapor del lado interior. Un asesor te puede pasar el detalle."
L09,549261*****09,2026-08-14T15:08:33.725559Z,LEAD,"Hola, quiero aislar el techo de mi casa"
L09,549261*****09,2026-08-14T15:08:33.734365Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L09,549261*****09,2026-08-14T15:09:04.082629Z,LEAD,cuánto puede salir?
L09,549261*****09,2026-08-14T15:09:04.100392Z,BOT,"El valor depende de la superficie y del sistema (lana de vidrio, poliuretano proyectado, EPS). Para pasarte un número necesito algunos datos del inmueble."
L09,549261*****09,2026-08-14T15:10:42.388280Z,LEAD,"es una refacción, casa en Godoy Cruz, el techo son unos 110 m2"
L09,549261*****09,2026-08-14T15:10:42.417480Z,BOT,"Para avanzar con un presupuesto estimado necesito: tipo de inmueble (casa, departamento, local, galpón), zona, superficie aproximada en m² y si es para obra nueva o una refacción."
L09,549261*****09,2026-08-14T15:14:22.703173Z,LEAD,"casa, Godoy Cruz, 110 m2, refacción"
L09,549261*****09,2026-08-14T15:14:22.725789Z,BOT,"Listo, ya registré tu consulta. Un asesor te va a contactar para coordinar una visita y pasarte el presupuesto detallado."
L10,549261*****10,2026-08-19T15:50:07.252188Z,LEAD,"buenas, aislación térmica para un depto de 65 m2 en Ciudad"
L10,549261*****10,2026-08-19T15:50:07.267351Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L10,549261*****10,2026-08-19T15:50:07.281453Z,BOT,"Para avanzar con un presupuesto estimado necesito: tipo de inmueble (casa, departamento, local, galpón), zona, superficie aproximada en m² y si es para obra nueva o una refacción."
L10,549261*****10,2026-08-19T15:51:17.691295Z,LEAD,"departamento, Ciudad de Mendoza, 65 m2, es refacción"
L10,549261*****10,2026-08-19T15:51:17.725614Z,BOT,"Listo, ya registré tu consulta. Un asesor te va a contactar para coordinar una visita y pasarte el presupuesto detallado."
L11,549261*****11,2026-08-20T15:32:32.762985Z,LEAD,estamos construyendo un galpón en Luján y queremos aislar la cubierta
L11,549261*****11,2026-08-20T15:32:32.788047Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L11,549261*****11,2026-08-20T15:32:58.848341Z,LEAD,"son 400 m2 de cubierta, obra nueva"
L11,549261*****11,2026-08-20T15:32:58.873521Z,BOT,"Para avanzar con un presupuesto estimado necesito: tipo de inmueble (casa, departamento, local, galpón), zona, superficie aproximada en m² y si es para obra nueva o una refacción."
L11,549261*****11,2026-08-20T15:36:38.802755Z,LEAD,"galpón, Luján de Cuyo, 400 m2, obra nueva"
L11,549261*****11,2026-08-20T15:36:38.823903Z,BOT,"Listo, ya registré tu consulta. Un asesor te va a contactar para coordinar una visita y pasarte el presupuesto detallado."
L11,549261*****11,2026-08-20T15:51:33.572087Z,HUMANO,"Hola Andrés, soy Marcos de Aislaciones RH. ¿Tenés los planos de la cubierta? Así vamos con un número más preciso."
L12,549261*****12,2026-08-21T14:18:23.585350Z,LEAD,"Hola! casa nueva en Chacras, queremos aislación en techo y paredes"
L12,549261*****12,2026-08-21T14:18:23.625902Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L12,549261*****12,2026-08-21T14:18:23.644551Z,BOT,"Para avanzar con un presupuesto estimado necesito: tipo de inmueble (casa, departamento, local, galpón), zona, superficie aproximada en m² y si es para obra nueva o una refacción."
L12,549261*****12,2026-08-21T14:21:30.466344Z,LEAD,"casa, Chacras de Coria, 180 m2 cubiertos, obra nueva"
L12,549261*****12,2026-08-21T14:21:30.484333Z,BOT,"Listo, ya registré tu consulta. Un asesor te va a contactar para coordinar una visita y pasarte el presupuesto detallado."
L13,549261*****13,2026-08-21T17:08:05.741463Z,LEAD,"hola, local en Guaymallén, quiero aislar el techo, se trabaja mal por el calor"
L13,549261*****13,2026-08-21T17:08:05.768799Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L13,549261*****13,2026-08-21T17:08:05.794423Z,BOT,"Para avanzar con un presupuesto estimado necesito: tipo de inmueble (casa, departamento, local, galpón), zona, superficie aproximada en m² y si es para obra nueva o una refacción."
L13,549261*****13,2026-08-21T17:11:23.814137Z,LEAD,"local comercial, Guaymallén, unos 90 m2, refacción"
L13,549261*****13,2026-08-21T17:11:23.840291Z,BOT,"Listo, ya registré tu consulta. Un asesor te va a contactar para coordinar una visita y pasarte el presupuesto detallado."
L14,549261*****14,2026-08-21T17:23:12.477392Z,LEAD,quiero presupuesto para aislar el techo de una casa en Maipú
L14,549261*****14,2026-08-21T17:23:12.496752Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L14,549261*****14,2026-08-21T17:23:12.506788Z,BOT,"Para avanzar con un presupuesto estimado necesito: tipo de inmueble (casa, departamento, local, galpón), zona, superficie aproximada en m² y si es para obra nueva o una refacción."
L14,549261*****14,2026-08-21T17:24:27.153866Z,LEAD,"casa, Maipú, 95 m2, refacción"
L14,549261*****14,2026-08-21T17:24:27.179471Z,BOT,"Listo, ya registré tu consulta. Un asesor te va a contactar para coordinar una visita y pasarte el presupuesto detallado."
L15,549261*****15,2026-08-22T12:02:34.841503Z,LEAD,hola
L15,549261*****15,2026-08-22T12:02:34.868466Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L15,549261*****15,2026-08-22T13:00:38.277308Z,BOT,"Hola Emiliano, te escribimos desde Aislaciones RH. ¿Pudiste ver la info que te pasamos? Quedamos a disposición 🙌"
L16,549261*****16,2026-08-22T20:13:57.283928Z,LEAD,precio aislación de techo?
L16,549261*****16,2026-08-22T20:13:57.313531Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L16,549261*****16,2026-08-22T20:13:57.331294Z,BOT,"El valor depende de la superficie y del sistema (lana de vidrio, poliuretano proyectado, EPS). Para pasarte un número necesito algunos datos del inmueble."
L16,549261*****16,2026-08-22T22:48:58.090691Z,BOT,"Hola Antonella, te escribimos desde Aislaciones RH. ¿Pudiste ver la info que te pasamos? Quedamos a disposición 🙌"
L17,549261*****17,2026-08-22T21:45:00.239559Z,LEAD,hola queria consultar unas cosas sobre aislacion
L17,549261*****17,2026-08-22T21:45:00.259221Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L17,549261*****17,2026-08-22T23:45:54.013686Z,BOT,"Hola Gastón, te escribimos desde Aislaciones RH. ¿Pudiste ver la info que te pasamos? Quedamos a disposición 🙌"
L18,549261*****18,2026-08-24T19:00:38.026220Z,LEAD,buenas
L18,549261*****18,2026-08-24T19:00:38.033210Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L18,549261*****18,2026-08-24T19:37:49.081546Z,BOT,"Hola Micaela, te escribimos desde Aislaciones RH. ¿Pudiste ver la info que te pasamos? Quedamos a disposición 🙌"
L19,549261*****19,2026-08-24T19:32:59.752902Z,LEAD,"Hola, quiero aislar el techo de mi casa en Dorrego"
L19,549261*****19,2026-08-24T19:32:59.770675Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L19,549261*****19,2026-08-24T19:32:59.792210Z,BOT,"Para avanzar con un presupuesto estimado necesito: tipo de inmueble (casa, departamento, local, galpón), zona, superficie aproximada en m² y si es para obra nueva o una refacción."
L19,549261*****19,2026-08-24T19:37:13.990851Z,LEAD,"casa, Dorrego, 130 m2, refacción"
L19,549261*****19,2026-08-24T19:37:14.015796Z,BOT,"Listo, ya registré tu consulta. Un asesor te va a contactar para coordinar una visita y pasarte el presupuesto detallado."
L19,549261*****19,2026-08-24T19:56:13.540469Z,HUMANO,"Hola Gonzalo, te paso el presupuesto por mail hoy. Coordinamos visita para el jueves."
L20,549261*****20,2026-08-25T17:47:48.449523Z,LEAD,consulta: el techo del último piso del edificio transmite mucho calor a mi depto
L20,549261*****20,2026-08-25T17:47:48.467463Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L20,549261*****20,2026-08-25T17:49:21.010913Z,LEAD,"es un depto de 70 m2 en Ciudad, quería saber si tiene solución"
L20,549261*****20,2026-08-25T17:49:21.037724Z,BOT,"Tiene solución: se aísla la losa del techo del edificio por arriba, o el cielorraso de tu depto por dentro. Conviene una visita técnica."
L20,549261*****20,2026-08-25T18:26:26.487918Z,HUMANO,"Hola Belén, para eso necesitamos el ok del consorcio si es la losa común. Te explico las dos opciones por teléfono."
L21,549261*****21,2026-08-27T18:37:05.191940Z,LEAD,"galpón nuevo en Russell, 520 m2, necesito aislar cubierta"
L21,549261*****21,2026-08-27T18:37:05.202627Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L21,549261*****21,2026-08-27T18:37:05.206207Z,BOT,"Para avanzar con un presupuesto estimado necesito: tipo de inmueble (casa, departamento, local, galpón), zona, superficie aproximada en m² y si es para obra nueva o una refacción."
L21,549261*****21,2026-08-27T18:40:59.171448Z,LEAD,"galpón, Russell, 520 m2, obra nueva"
L21,549261*****21,2026-08-27T18:40:59.188026Z,BOT,"Listo, ya registré tu consulta. Un asesor te va a contactar para coordinar una visita y pasarte el presupuesto detallado."
L21,549261*****21,2026-08-27T20:57:35.498531Z,BOT,"Hola Ramiro, te escribimos desde Aislaciones RH. ¿Pudiste ver la info que te pasamos? Quedamos a disposición 🙌"
L21,549261*****21,2026-08-27T20:58:10.793618Z,LEAD,"sí, sigo interesado, esta semana confirmo la visita"
L22,549261*****22,2026-08-27T19:25:54.015829Z,LEAD,"Hola, precio aproximado de aislar un techo de 100 m2 en Las Heras"
L22,549261*****22,2026-08-27T19:25:54.041900Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L22,549261*****22,2026-08-27T19:25:54.046917Z,BOT,"Para avanzar con un presupuesto estimado necesito: tipo de inmueble (casa, departamento, local, galpón), zona, superficie aproximada en m² y si es para obra nueva o una refacción."
L22,549261*****22,2026-08-27T19:26:31.985968Z,LEAD,"casa, Las Heras, 100 m2, refacción"
L22,549261*****22,2026-08-27T19:26:32.009839Z,BOT,"Listo, ya registré tu consulta. Un asesor te va a contactar para coordinar una visita y pasarte el presupuesto detallado."
L22,549261*****22,2026-08-27T19:28:23.805398Z,LEAD,"lo voy a ver más adelante, gracias"
L23,549261*****23,2026-08-27T20:44:20.753581Z,LEAD,hola
L24,549261*****24,2026-08-29T17:39:16.481670Z,LEAD,"Hola, tengo una casa antigua con techo de tejas y machimbre, se puede aislar sin sacar todo?"
L24,549261*****24,2026-08-29T17:39:16.525293Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L24,549261*****24,2026-08-29T17:41:21.934710Z,LEAD,no quiero levantar las tejas si se puede evitar
L24,549261*****24,2026-08-29T17:41:21.968240Z,BOT,"En algunos casos se aísla desde adentro, con cielorraso y lana, sin tocar las tejas. Depende del estado del machimbre."
L24,549261*****24,2026-08-29T17:41:56.327159Z,LEAD,y eso lo pueden ver en una visita?
L24,549261*****24,2026-08-29T18:13:28.978178Z,HUMANO,"Hola Paula, soy Diego. Sí, hacemos una visita sin cargo para medir y ver el techo por dentro. ¿En qué zona estás?"
L24,549261*****24,2026-08-29T18:14:28.630716Z,LEAD,"Villa Nueva, Guaymallén"
L24,549261*****24,2026-08-29T18:50:44.689915Z,HUMANO,Perfecto. ¿Te queda bien el martes a la mañana?
L24,549261*****24,2026-08-29T18:53:24.595423Z,LEAD,"el martes lo confirmo, gracias"
